Date,Open,High,Low,Close,Adj Close,Volume
2008-08-01,731.331970,774.351501,651.438599,694.458130,448.220459,1783843929
2008-09-01,688.312439,719.040710,485.506104,651.438599,420.454529,2691289079
2008-10-01,651.438599,651.438599,280.241486,383.488373,247.512894,2974367504
2008-11-01,393.321411,503.943054,304.824097,366.280548,236.406555,4008827350
2008-12-01,361.364044,553.108215,339.239716,497.797394,321.290710,2878612730
2009-01-01,497.797394,559.253845,435.111786,447.403107,288.765076,2558807096
2009-02-01,437.570068,449.861359,415.445740,427.737030,276.072083,1856454265
2009-03-01,417.903992,559.253845,412.987457,534.671265,345.090057,2361608573
2009-04-01,553.108215,706.749390,522.380005,682.166809,440.287323,2794406788
2009-05-01,700.603760,755.914551,596.127747,731.331970,472.019806,4568178555
2009-06-01,743.623291,921.847046,725.186340,780.497131,520.580261,3270691062
2009-07-01,798.934082,1050.905640,768.205872,1026.322998,684.542480,4401615538
2009-08-01,1044.760010,1063.196899,909.555725,1007.886108,672.245544,2495241779
2009-09-01,977.157837,1216.838135,952.575256,1155.381592,770.622864,1836181790
2009-10-01,1149.235962,1302.877197,1050.905640,1149.235962,766.523743,2327185834
2009-11-01,1155.381592,1216.838135,1057.051270,1093.925171,729.632385,2015764186
2009-12-01,1118.507690,1161.527222,1075.488159,1155.381592,770.622864,1580030968
2010-01-01,1155.381592,1216.838135,1106.216431,1149.235962,769.729858,1820961666
2010-02-01,1149.235962,1161.527222,1020.177368,1100.070801,736.800232,1924201408
2010-03-01,1100.070801,1388.916260,1081.633911,1315.168457,880.867310,2740488538
2010-04-01,1290.585815,1425.790039,1216.838135,1425.790039,954.958801,2870487057
2010-05-01,1413.498779,1438.081421,1155.381592,1315.168457,880.867310,2860488110
2010-06-01,1266.003296,1499.537842,1253.711914,1474.955200,987.888672,1888088447
2010-07-01,1438.081421,1548.703003,1376.624878,1474.955200,1006.374207,1587554585
2010-08-01,1438.081421,1499.537842,1339.750977,1450.372681,989.601379,1416197523
2010-09-01,1474.955200,1782.237549,1425.790039,1769.946289,1207.649170,1693281864
2010-10-01,1683.907227,1769.946289,1622.450806,1720.781128,1174.103394,1772093739
2010-11-01,1745.363770,1782.237549,1560.994263,1573.285645,1073.465942,1315500230
2010-12-01,1647.033325,1696.198608,1499.537842,1597.868164,1090.238892,1722670548
2011-01-01,1585.576904,1696.198608,1315.168457,1462.663940,1001.036255,4744958153
2011-02-01,1499.537842,1536.411743,1337.500000,1450.000000,992.369080,4085954079
2011-03-01,1475.000000,1700.000000,1425.000000,1700.000000,1163.467285,4470488000
2011-04-01,1712.500000,1812.500000,1637.500000,1787.500000,1223.351807,2542330000
2011-05-01,1837.500000,1837.500000,1700.000000,1800.000000,1231.906494,2746034000
